source_column,sample_index,mean,std,var,rms,peak,peak_to_peak,skewness,kurtosis,crest_factor,impulse_factor,shape_factor,clearance_factor
12kHz_DE_data B007_0 (第1列),0,0.002363139,0.133109716,0.017718196,0.133130691,0.561128992,1.02578403,-0.082671464,0.118841772,4.214873282,5.317581693,1.261623147,6.31489899
12kHz_DE_data B007_0 (第1列),1,0.002515528,0.141140923,0.01992076,0.141163338,0.561128992,1.025784031,-0.024600016,-0.037729275,3.975033457,4.993679176,1.256260917,5.913820357
12kHz_DE_data B007_0 (第1列),2,0.002783741,0.140876654,0.019846232,0.140904155,0.457841299,0.888352962,-0.052349508,-0.166643681,3.249310129,4.053182872,1.247397974,4.774709003
12kHz_DE_data B007_0 (第1列),3,0.002473045,0.144723124,0.020944783,0.144744252,0.525601899,1.033866951,-0.051238917,-0.047059373,3.631245393,4.554624649,1.254287209,5.384960463
12kHz_DE_data B007_0 (第1列),4,0.002537694,0.139839287,0.019555026,0.139862311,0.525601899,1.033866951,0.002132427,0.11389847,3.757995227,4.741089852,1.261600818,5.611110579
12kHz_DE_data B007_0 (第1列),5,0.002096649,0.129746713,0.016834209,0.129763652,0.495958432,0.966397971,-0.034043095,0.369690856,3.822013519,4.842958265,1.267122223,5.730889216
12kHz_DE_data B007_0 (第1列),6,0.002280503,0.144598143,0.020908623,0.144616125,0.495958432,0.940522885,-0.059376574,0.086131668,3.429482237,4.310186627,1.256803893,5.086863598
12kHz_DE_data B007_0 (第1列),7,0.002653685,0.146328807,0.02141212,0.146352867,0.485747005,0.930311458,-0.042639912,-0.199470449,3.319012572,4.112340964,1.239025425,4.819248042
12kHz_DE_data B007_0 (第1列),8,0.002268767,0.135003786,0.018226022,0.135022848,0.437926975,0.849793503,-0.032897866,-0.158757138,3.24335459,4.046550975,1.247643717,4.766716316
12kHz_DE_data B007_0 (第1列),9,0.002150679,0.135915552,0.018473037,0.135932567,0.437926975,0.842692744,-0.02596687,-0.153069234,3.221648684,4.033785521,1.252087337,4.761864967
12kHz_DE_data B007_0 (第1列),10,0.002396616,0.131878078,0.017391828,0.131899853,0.539516346,0.96861504,-0.08388486,0.229708674,4.090348341,5.181657687,1.266801078,6.152452394
12kHz_DE_data B007_0 (第1列),11,0.002429203,0.13248762,0.017552969,0.132509888,0.539516346,1.059175333,-0.086023875,0.243403701,4.071517641,5.142324915,1.262999542,6.10313936
12kHz_DE_data B007_0 (第1列),12,0.002087325,0.131172507,0.017206227,0.131189113,0.519658987,0.987963488,0.000816418,-0.238249132,3.961144141,4.908203044,1.239087211,5.773439579
12kHz_DE_data B007_0 (第1列),13,0.002283793,0.126861328,0.016093796,0.126881883,0.46791546,0.873361229,0.045784988,-0.073208836,3.687803565,4.626150952,1.254446141,5.47035531
12kHz_DE_data B007_0 (第1列),14,0.002447399,0.135375655,0.018326568,0.135397776,0.505444238,0.956173625,0.030233474,0.102841995,3.73303205,4.711141242,1.262014678,5.576133953
12kHz_DE_data B007_0 (第1列),15,0.002449559,0.140814979,0.019828858,0.140836283,0.577268414,1.123707668,-0.0289791,0.143731464,4.098861461,5.142325848,1.254574202,6.052193996
12kHz_DE_data B007_0 (第1列),16,0.002209452,0.139369575,0.019423878,0.139387088,0.577268414,1.123707668,-0.027653497,-0.03371424,4.141476976,5.150276115,1.243584389,6.041278945
12kHz_DE_data B007_0 (第1列),17,0.00215631,0.132612684,0.017586124,0.132630214,0.445327947,0.862028334,0.002398546,-0.278729104,3.357665905,4.138270941,1.232484427,4.83308991
12kHz_DE_data B007_0 (第1列),18,0.002513641,0.131368835,0.017257771,0.131392881,0.447376964,0.848217796,0.037068761,-0.056155547,3.404879788,4.259377035,1.250962531,5.01744134
12kHz_DE_data B007_0 (第1列),19,0.002263455,0.135008235,0.018227224,0.135027207,0.449139405,0.849980237,0.05951171,-0.209857287,3.326288187,4.134501101,1.242977418,4.864373019
