source_column,rpm,target label,sample_index,value_0,fault_type_simple,fault_type_name,spectral_centroid,spectral_variance,peak_frequency,peak_amplitude,low_freq_energy_ratio,mid_freq_energy_ratio,high_freq_energy_ratio,BPFO_amplitude,BPFI_amplitude,BSF_amplitude,FR_amplitude
12kHz_DE_data B007_0 (第1列),1796,B007_0,0,0.196252622,B,滚动体故障,2727.6371,1692477.948,3273.44,91.8156,0.0197,0.9799,0.0004,0,0,23.8552,9.6794
12kHz_DE_data B007_0 (第1列),1796,B007_0,1,-0.012127809,B,滚动体故障,3003.2178,3489363.997,3281.25,101.8377,0.0168,0.9825,0.0007,0,0,22.9993,10.3036
12kHz_DE_data B007_0 (第1列),1796,B007_0,2,0.159355307,B,滚动体故障,2949.7839,3384526.528,3375,101.7098,0.0172,0.9821,0.0007,0,0,22.5433,11.4022
12kHz_DE_data B007_0 (第1列),1796,B007_0,3,0.255905991,B,滚动体故障,3133.9458,4663468.766,3367.19,120.097,0.018,0.9809,0.0012,0,0,25.0618,10.1296
12kHz_DE_data B007_0 (第1列),1796,B007_0,4,-0.044799,B,滚动体故障,2802.7955,2127396.172,3234.38,111.4667,0.0177,0.9818,0.0006,0,0,22.3137,10.3944
12kHz_DE_data B007_0 (第1列),1796,B007_0,5,-0.106890517,B,滚动体故障,2974.8417,3610883.907,3429.69,68.583,0.0203,0.9787,0.001,0,0,22.9555,8.5879
12kHz_DE_data B007_0 (第1列),1796,B007_0,6,-0.192388261,B,滚动体故障,2919.2949,3042857.184,3265.62,104.8891,0.0182,0.9812,0.0006,0,0,21.7744,9.3409
12kHz_DE_data B007_0 (第1列),1796,B007_0,7,0.075320453,B,滚动体故障,3006.7321,3768748.244,3265.62,110.8239,0.0188,0.9805,0.0008,0,0,21.1177,10.8695
12kHz_DE_data B007_0 (第1列),1796,B007_0,8,0.017292516,B,滚动体故障,2970.5006,3479889.611,3421.88,84.7573,0.0242,0.9751,0.0007,0,0,23.3624,9.2929
12kHz_DE_data B007_0 (第1列),1796,B007_0,9,-0.202303398,B,滚动体故障,2740.1131,1699314.657,3250,93.629,0.023,0.9765,0.0004,0,0,19.9667,8.8092
12kHz_DE_data B007_0 (第1列),1796,B007_0,10,0.224860232,B,滚动体故障,2968.5927,3593199.497,3367.19,92.6831,0.0282,0.9709,0.0009,0,0,22.0315,9.8165
12kHz_DE_data B007_0 (第1列),1796,B007_0,11,-0.133385065,B,滚动体故障,2839.4412,2595816.377,3281.25,81.0079,0.0302,0.9692,0.0006,0,0,23.0422,9.95
12kHz_DE_data B007_0 (第1列),1796,B007_0,12,0.009490441,B,滚动体故障,2786.0569,2177698.246,3304.69,89.8931,0.028,0.9715,0.0006,0,0,20.7911,8.5497
12kHz_DE_data B007_0 (第1列),1796,B007_0,13,-0.063816559,B,滚动体故障,2902.7711,3376034.998,3445.31,87.0582,0.0369,0.9623,0.0008,0,0,24.2888,9.3544
12kHz_DE_data B007_0 (第1列),1796,B007_0,14,0.105065865,B,滚动体故障,2759.6874,2120935.326,3367.19,99.3454,0.0309,0.9686,0.0005,0,0,24.2792,10.0245
12kHz_DE_data B007_0 (第1列),1796,B007_0,15,0.195602449,B,滚动体故障,2892.3396,2856750.869,3367.19,90.541,0.0241,0.9753,0.0006,0,0,22.7939,10.0334
12kHz_DE_data B007_0 (第1列),1796,B007_0,16,0.054189832,B,滚动体故障,3020.2399,3700936.901,3234.38,91.258,0.0234,0.9757,0.0008,0,0,24.8583,9.0499
12kHz_DE_data B007_0 (第1列),1796,B007_0,17,-0.019442255,B,滚动体故障,2710.3162,1470185.325,3265.62,101.8501,0.0241,0.9754,0.0005,0,0,22.2883,8.8322
12kHz_DE_data B007_0 (第1列),1796,B007_0,18,-0.260331334,B,滚动体故障,2722.8819,1806026.495,3351.56,104.292,0.0252,0.9742,0.0006,0,0,23.8465,10.2959
12kHz_DE_data B007_0 (第1列),1796,B007_0,19,-0.035371493,B,滚动体故障,2897.4801,2883764.244,3304.69,101.1971,0.0225,0.9767,0.0009,0,0,22.666,9.2711
12kHz_DE_data B007_0 (第1列),1796,B007_0,20,-0.244889727,B,滚动体故障,3156.0387,4681087.624,3367.19,98.074,0.0188,0.9799,0.0013,0,0,21.2426,6.9699
12kHz_DE_data B007_0 (第1列),1796,B007_0,21,-0.086084983,B,滚动体故障,3170.6256,4641593.523,3265.62,105.035,0.0158,0.9831,0.0011,0,0,23.3858,8.0049
12kHz_DE_data B007_0 (第1列),1796,B007_0,22,0.177560149,B,滚动体故障,3166.6914,4733225.95,3265.62,100.5366,0.0146,0.9841,0.0013,0,0,21.7569,8.9014
12kHz_DE_data B007_0 (第1列),1796,B007_0,23,0.229411443,B,滚动体故障,2896.2747,3021248.652,3429.69,97.9428,0.0179,0.9813,0.0008,0,0,22.5562,6.7872
12kHz_DE_data B007_0 (第1列),1796,B007_0,24,-0.214331598,B,滚动体故障,2797.4789,1834703.688,3445.31,92.0984,0.0167,0.9828,0.0005,0,0,24.9837,7.3344
12kHz_DE_data B007_0 (第1列),1796,B007_0,25,0.061016648,B,滚动体故障,2925.8321,2924567.937,3234.38,122.6878,0.0144,0.9851,0.0005,0,0,22.1225,8.2319
12kHz_DE_data B007_0 (第1列),1796,B007_0,26,-0.209780387,B,滚动体故障,2891.1782,2728958.579,3289.06,83.7333,0.0176,0.9818,0.0006,0,0,24.1897,7.5103
12kHz_DE_data B007_0 (第1列),1796,B007_0,27,-0.072756438,B,滚动体故障,2834.6838,2444650.804,3367.19,103.0353,0.021,0.9783,0.0007,0,0,24.1797,7.6269
12kHz_DE_data B007_0 (第1列),1796,B007_0,28,-0.145738351,B,滚动体故障,2821.5641,2110984.944,3367.19,128.7326,0.0205,0.9789,0.0006,0,0,21.0522,6.2824
12kHz_DE_data B007_0 (第1列),1796,B007_0,29,-0.047887322,B,滚动体故障,2828.4622,1985225.806,3265.62,97.1511,0.0193,0.9801,0.0005,0,0,25.2427,5.5305
12kHz_DE_data B007_0 (第1列),1796,B007_0,30,0.015829627,B,滚动体故障,2787.3891,1965903.998,3421.88,119.2461,0.0206,0.9788,0.0006,0,0,24.2473,6.1173
12kHz_DE_data B007_0 (第1列),1796,B007_0,31,-0.078282907,B,滚动体故障,2791.5397,2115359.722,3429.69,82.5978,0.024,0.9755,0.0005,0,0,22.6416,2.3745
12kHz_DE_data B007_0 (第1列),1796,B007_0,32,0.008677725,B,滚动体故障,2931.027,3439706.183,3328.12,95.161,0.0219,0.9774,0.0007,0,0,22.2618,2.4013
